id, name, latitude, longitude, address, area, city,cost, rating, homedelivery, smoking, alcohol, wifi, valetparking, rooftop  
499,Pop Tate's,19.08686778,72.88878355,"Phoenix Market City, LBS Marg,Kurla, Mumbai",Kurla, Mumbai,1600,3.7,no,no,yes,no,no,no
500,Coffee Culture,19.0866894,72.88987421,"38-39, 2nd Floor, Phoenix Market City,Kurla, Mumbai",Kurla, Mumbai,700,3.8,no,no,no,no,no,no
501,The Irish House,19.08555762,72.88915034,"Level 1, Phoenix Market City Mall, LBS Road,Kurla, Mumbai",Kurla, Mumbai,1900,4,no,yes,yes,no,no,no
502,Amoeba Sports Bar,19.08691974,72.88919929,"F 33, 1st Floor, Phoenix Market City, LBS Marg,Kurla, Mumbai",Kurla, Mumbai,1100,3.8,no,no,yes,no,no,no
503,Punjab Grill,19.08690453,72.88933676,"Shop 81/82, 1st Floor, Kamai Junction,Kurla, Mumbai",Kurla, Mumbai,1600,4.1,yes,no,yes,yes,no,no
504,Wow! Momo,19.0869757,72.8894604,"Unit No SFC 6, Second Floor Foodcourt, Phoenix Market City Mall, LBS Road,Kurla, Mumbai",Kurla, Mumbai,300,3.2,yes,no,no,no,no,no
505,Eat Around the Corner,19.0622649,72.8328541,"Pali Hill, Bandra West24th & 30th Road Junction, Opposite St Theresa's Boys High School, TPS III,","Pali Hill, Bandra West", Mumbai,1100,3.8,yes,no,no,no,no,no
506,Gateway Taproom,19.059356,72.864868,"Godrej BKC, Unit 3, Plot C - 68, G Block,Bandra Kurla Complex, Mumbai",Bandra Kurla Complex, Mumbai,2200,4.2,no,yes,yes,yes,yes,no
507,RISO,18.9947614,72.8256762,"Gala 1, Janta Industrial Estate, Opposite High Street Phoenix Mall, SB Road,Lower Parel, Mumbai",Lower Parel, Mumbai,1400,3.9,yes,no,no,no,no,no
508,Talli - The Unrefined Lounge,19.23581894,72.96958677,"Manpada, Thane WestI-9, 27 Acre, Kothari Compound, Tikku Ji Ni Wadi Road,","Manpada, Thane West", Mumbai,1000,3.8,yes,yes,yes,yes,yes,no
509,Swati Snacks,18.96643385,72.81338498,"248, Karai Estate, Opposite Bhatia Hospital,TardeoRoad, Tardeo, Mumbai",Tardeo, Mumbai,800,4,yes,no,no,no,no,no
510,Thangabali,19.0317545,72.84144731,"Shop 3/4/5, Ground Floor, Manmohan Bhavan, Takandas Kataria Marg,Mahim, Mumbai",Mahim, Mumbai,800,3.9,yes,no,no,no,yes,no
511,Terttulia,19.02568406,72.83530869,"Ground Floor, Hotel Parkway, Off Cadell Road,Shivaji Park, Sea Face Road,Dadar Shivaji Park, Mumbai",Dadar Shivaji Park, Mumbai,1400,4.1,no,no,yes,no,no,no
512,Oye Teri - The Kulcha Kulture,19.22361814,72.85298081,"4, Rajda Nagar, Shimpoli Road, Near Mega Party Hall,Borivali West, Mumbai",Borivali West, Mumbai,500,3.6,no,no,no,yes,no,no
513,Kath N Ghat,19.196897,72.962943,"Panch Pakhadi, Thane WestPanch pakadi Service Road, Near Meena Apartment,","Panch Pakhadi, Thane West", Mumbai,1000,4,yes,no,no,no,no,no
514,The Bake Room,19.1820598,72.9494246,"Shop 28, Vikas Paradise, Bhakti Marg,Mulund West, Mumbai",Mulund West, Mumbai,800,4.3,yes,no,no,yes,no,no
515,Bayview Cafe,18.91861482,72.83209641,"Hotel Harbour View, Kerawala Chamber, Opposite Radio Club, 25, J P Ramchandani Marg,Colaba, Mumbai",Colaba, Mumbai,800,3.6,no,no,yes,no,no,no
516,Rainforest Resto-Bar,19.09957654,72.91612364,"R City Mall, LBS Marg,Ghatkopar West, Mumbai",Ghatkopar West, Mumbai,1800,3.6,yes,no,yes,no,no,no
517,The Hood,19.18363812,72.83589542,"Opposite Goregaon Sports Club, Near Infinity Mall II, Malad Link Road,Malad West, Mumbai",Malad West, Mumbai,1100,3.9,yes,no,yes,yes,no,no
